epoch,timestamp,elapsed_time,total_loss,pde_loss,surf_loss,wt_head_loss,wt_kin_loss,ic_h_loss,ic_zb_loss,pde_grad,surf_grad,wt_head_grad,wt_kin_grad,ic_h_grad,ic_zb_grad,total_grad,pde_weight,surf_weight,wt_head_weight,wt_kin_weight,ic_h_weight,ic_zb_weight,cache_mean_residual,cache_max_residual,cache_std_residual,learning_rate,epoch_time
2199,2025-09-30T01:30:14.962005,24.467660188674927,5.0740400183713064e-05,0.0,5.0740400183713064e-05,0.0,0.0,0.0,0.0,0.0,0.031379567480885745,0.0,0.0,0.0,0.0,0.031379567480885745,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.2769277191182482e-06,1.9008225535799284e-06,4.810244149666687e-07,0.0001,0.012207746505737305
2249,2025-09-30T01:30:15.536650,25.042304754257202,3.18863385473378e-05,0.0,3.18863385473378e-05,0.0,0.0,0.0,0.0,0.0,0.03198484046951347,0.0,0.0,0.0,0.0,0.03198484046951347,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.2769277191182482e-06,1.9008225535799284e-06,4.810244149666687e-07,0.0001,0.011327981948852539
2299,2025-09-30T01:30:16.097308,25.6029634475708,4.9901518650585786e-05,0.0,4.9901518650585786e-05,0.0,0.0,0.0,0.0,0.0,0.03188740373342473,0.0,0.0,0.0,0.0,0.03188740373342473,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.2769277191182482e-06,1.9008225535799284e-06,4.810244149666687e-07,0.0001,0.011084318161010742
2349,2025-09-30T01:30:16.641599,26.14725375175476,3.506548091536388e-05,0.0,3.506548091536388e-05,0.0,0.0,0.0,0.0,0.0,0.030534361668426737,0.0,0.0,0.0,0.0,0.030534361668426737,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.2769277191182482e-06,1.9008225535799284e-06,4.810244149666687e-07,0.0001,0.013106346130371094
2399,2025-09-30T01:30:17.177400,26.68305540084839,0.00015629011613782495,0.0,0.00015629011613782495,0.0,0.0,0.0,0.0,0.0,0.0672716206401683,0.0,0.0,0.0,0.0,0.0672716206401683,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.2769277191182482e-06,1.9008225535799284e-06,4.810244149666687e-07,0.0001,0.011082887649536133
2449,2025-09-30T01:30:17.733382,27.239037036895752,0.0002202935138484463,0.0,0.0002202935138484463,0.0,0.0,0.0,0.0,0.0,0.03553573936194148,0.0,0.0,0.0,0.0,0.03553573936194148,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.2769277191182482e-06,1.9008225535799284e-06,4.810244149666687e-07,0.0001,0.013152122497558594
2499,2025-09-30T01:30:18.304536,27.8101909160614,0.00017776142340153456,0.0,0.00017776142340153456,0.0,0.0,0.0,0.0,0.0,0.06069608550023933,0.0,0.0,0.0,0.0,0.06069608550023933,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.2769277191182482e-06,1.9008225535799284e-06,4.810244149666687e-07,0.0001,0.01042628288269043
2549,2025-09-30T01:30:18.865165,28.370819807052612,4.260475350292836e-07,0.0,4.260475350292836e-07,0.0,0.0,0.0,0.0,0.0,0.0032651516733147854,0.0,0.0,0.0,0.0,0.0032651516733147854,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.2453886029106798e-06,1.8721880223893095e-06,4.978801939614641e-07,0.0001,0.012236356735229492
2599,2025-09-30T01:30:19.415889,28.921543836593628,6.622709861403564e-06,0.0,6.622709861403564e-06,0.0,0.0,0.0,0.0,0.0,0.010246752314684344,0.0,0.0,0.0,0.0,0.010246752314684344,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.2453886029106798e-06,1.8721880223893095e-06,4.978801939614641e-07,0.0001,0.010178804397583008
2649,2025-09-30T01:30:19.964248,29.469902753829956,1.2854545275331475e-05,0.0,1.2854545275331475e-05,0.0,0.0,0.0,0.0,0.0,0.022799286508283924,0.0,0.0,0.0,0.0,0.022799286508283924,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.2453886029106798e-06,1.8721880223893095e-06,4.978801939614641e-07,0.0001,0.009069204330444336
2699,2025-09-30T01:30:20.498242,30.003896951675415,1.10810997284716e-05,0.0,1.10810997284716e-05,0.0,0.0,0.0,0.0,0.0,0.011953415634518412,0.0,0.0,0.0,0.0,0.011953415634518412,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.2453886029106798e-06,1.8721880223893095e-06,4.978801939614641e-07,0.0001,0.010103702545166016
2749,2025-09-30T01:30:21.038284,30.543938636779785,6.158432370284572e-06,0.0,6.158432370284572e-06,0.0,0.0,0.0,0.0,0.0,0.006720105963703552,0.0,0.0,0.0,0.0,0.006720105963703552,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.2453886029106798e-06,1.8721880223893095e-06,4.978801939614641e-07,0.0001,0.010121345520019531
2799,2025-09-30T01:30:21.589045,31.09469985961914,7.303415623027831e-05,0.0,7.303415623027831e-05,0.0,0.0,0.0,0.0,0.0,0.0390560094852274,0.0,0.0,0.0,0.0,0.0390560094852274,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.2453886029106798e-06,1.8721880223893095e-06,4.978801939614641e-07,0.0001,0.013002872467041016
2849,2025-09-30T01:30:22.152488,31.658143520355225,4.950257789460011e-05,0.0,4.950257789460011e-05,0.0,0.0,0.0,0.0,0.0,0.013241950699713416,0.0,0.0,0.0,0.0,0.013241950699713416,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.2453886029106798e-06,1.8721880223893095e-06,4.978801939614641e-07,0.0001,0.01100301742553711
2899,2025-09-30T01:30:22.698992,32.204647064208984,0.0005422586109489202,0.0,0.0005422586109489202,0.0,0.0,0.0,0.0,0.0,0.15132001087827848,0.0,0.0,0.0,0.0,0.15132001087827848,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.2453886029106798e-06,1.8721880223893095e-06,4.978801939614641e-07,0.0001,0.011002540588378906
2949,2025-09-30T01:30:23.240267,32.74592161178589,6.53769529890269e-06,0.0,6.53769529890269e-06,0.0,0.0,0.0,0.0,0.0,0.01618661606756363,0.0,0.0,0.0,0.0,0.01618661606756363,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.2453886029106798e-06,1.8721880223893095e-06,4.978801939614641e-07,0.0001,0.01011514663696289
