site_no,latitude_dms,longitude_dms
393522085555401,"39°35'22""","85°55'54"""
393423086161001,"39°34'23""","86°16'10"""
383659086545901,"38°36'59""","86°54'59"""
384047087142702,"38°40'47""","87°14'27"""
405520085310801,"40°55'20""","85°31'08"""
385542086005601,"38°55'42.3""","86°00'56.3"""
414202086035001,"41°42'02""","86°03'50"""
395223086214203,"39°52'23.49""","86°21'41.37"""
403948085414601,"40°39'48""","85°41'46"""
394608086311001,"39°46'08""","8°63'11"""
402322085481901,"40°23'22""","85°48'19"""
414325084552401,"41°43'25""","84°55'24"""
380758087551001,"38°07'55""","87°55'11"""
395159086253101,"39°51'59""","86°25'31"""
411043085035201,"41°10'43""","85°03'52"""
394426085080601,"39°44'28""","85°08'09"""
405829086175801,"40°58'29""","86°17'58"""
413721087235801,"41°37'21.3""","87°23'58.1"""
395240086273301,"39°52'40""","86°27'33"""
402734087033402,"40°27'34""","87°03'34"""
414202086035002,"41°42'02""","86°03'50"""
404006085244801,"40°40'06.48""","85°24'48.30"""
392232086333101,"39°22'32.3""","86°33'30.8"""
412012085594301,"41°20'12.27""","85°59'43.23"""
395245086273501,"39°52'45""","86°27'35"""
413715087232101,"41°37'14.9""","87°23'21.4"""
411856085455801,"41°18'56.23""","85°45'57.95"""
411232084541101,"41°12'32.2""","84°54'11.8"""
410809087580801,"41°08'10""","86°58'08"""
405959087282902,"40°59'59""","87°28'29"""
403836085374401,"40°38'36""","85°37'44"""
382156085382401,"38°21'55.6""","85°38'24.0"""
413704087233101,"41°37'04.3""","87°23'30.7"""
400245086482801,"40°02'45""","86°48'28"""
414318085200601,"41°43'18""","85°20'06"""
404603086021801,"40°46'03""","86°02'18"""
413754084540602,"41°37'54""","84°54'06"""
394510087105001,"39°45'10""","87°10'50"""
413653087232201,"41°36'53.3""","87°23'22.3"""
413434086434701,"41°34'34""","86°43'47"""
411229084541701,"41°12'29.7""","84°54'17.3"""
402848085340201,"40°28'48""","85°34'02"""
412354086421001,"41°23'54.92""","86°42'10.94"""
394952086110901,"39°49'52""","86°11'09"""
390758087363301,"39°07'58""","87°36'33"""
400247086482101,"40°02'47""","86°48'21"""
383403085352601,"38°34'03""","85°35'26"""
384047087142701,"38°40'47""","87°14'27"""
382305085381701,"38°23'05""","85°38'17"""
414431085313001,"41°44'30.97""","85°31'29.84"""
413141084544201,"41°31'41""","84°54'42"""
410428087231501,"41°04'28""","87°25'44"""
413559087270301,"41°35'59""","87°27'03"""
413657087231201,"41°36'56.5""","87°23'11.8"""
392820087242601,"39°28'18""","87°24'33"""
405959087282901,"40°59'59""","87°28'29"""
400131085504301,"40°01'31""","85°50'43"""
410249087011201,"41°02'49""","87°01'12"""
413121085481301,"41°31'22""","85°48'14"""
402851087213501,"40°28'51""","87°21'35"""
401532085085301,"40°15'32""","85°08'53"""
411038087284701,"41°10'38""","87°28'47"""
395717086051801,"39°57'16.95""","86°05'19.22"""
403810086403701,"40°38'10""","86°40'37"""
395223086214204,"39°52'23.53""","86°21'41.35"""
414149086183101,"41°41'49.60""","86°18'30.98"""
394605086311001,"39°46'05""","86°31'10"""
384745086354301,"38°47'45""","86°35'43"""
401143086394501,"40°11'43""","86°39'45"""
413139086341401,"41°31'40""","86°34'10"""
392022085371801,"39°20'22""","85°37'18"""
395223086214202,"39°52'23.21""","86°21'42.08"""
411042085035201,"41°10'42""","85°03'52"""
382323086044501,"38°23'23""","86°04'45"""
412018085483401,"41°20'18""","85°48'34"""
375406087105401,"37°54'06""","87°10'54"""
400104086023101,"40°01'04.05""","86°02'30.76"""
400641085413701,"40°06'40.8""","85°41'37.6"""
383655086504601,"38°36'55""","86°50'46"""
383946086475701,"38°39'46""","86°47'57"""
413426085181801,"41°34'26.45""","85°18'18.55"""
393746086222901,"39°37'46""","86°22'29"""
413705087231601,"41°37'05.3""","87°23'16.1"""
412354086421006,"41°23'54""","86°42'10"""
401308085394101,"40°13'08""","85°39'41"""
412354086421005,"41°23'54""","86°42'10"""
405902087141501,"40°59'02""","87°14'15"""
412350086512801,"41°23'50""","86°51'28"""
400532086183901,"40°05'32""","86°18'39"""
392612086230001,"39°26'12""","86°23'00"""
410428087231502,"41°04'28""","87°25'44"""
392527085005201,"39°25'27""","85°00'52"""
395107086021301,"39°51'07""","86°02'13"""
414202086283801,"41°42'02""","86°28'38"""
404606086023201,"40°46'06""","86°02'32"""
410941084520101,"41°09'40.92""","84°52'00.94"""
391035085560401,"39°10'35""","85°56'04"""
